,pitch_complexity
output/sonata18-4_fragment_41.musicxml,2.072258064516129
output/sonata27-2_fragment_36.musicxml,3.689516129032258
output/sonata19-1_fragment_12.musicxml,3.101553166069295
output/sonata29-1_fragment_97.musicxml,2.8088235294117645
output/sonata19-2_fragment_12.musicxml,1.3934837092731829
output/sonata01-1_fragment_37.musicxml,2.138198757763975
output/sonata02-3_fragment_17.musicxml,1.9514066496163682
output/sonata06-1_fragment_25.musicxml,6.7142857142857135
output/sonata29-3_fragment_38.musicxml,3.039451114922813
output/sonata24-1_fragment_0.musicxml,1.9880952380952381
output/sonata07-3_fragment_17.musicxml,1.7222222222222223
output/sonata04-3_fragment_10.musicxml,0.8436363636363636
output/sonata21-3_fragment_97.musicxml,4.0
output/sonata15-1_fragment_46.musicxml,1.4615384615384617
output/sonata22-1_fragment_28.musicxml,2.175373134328358
output/sonata12-2_fragment_3.musicxml,0.8285714285714285
output/sonata29-1_fragment_54.musicxml,1.6688453159041394
output/sonata02-4_fragment_10.musicxml,2.07445598604898
output/sonata18-4_fragment_13.musicxml,1.9333333333333333
output/sonata31-1_fragment_18.musicxml,5.188461538461539
output/sonata08-1_fragment_36.musicxml,1.5066666666666668
output/sonata32-2_fragment_25.musicxml,10.390010164077243
output/sonata31-3_fragment_29.musicxml,7.611924649634782
output/sonata09-2_fragment_42.musicxml,1.05
output/sonata12-4_fragment_1.musicxml,3.356896551724138
output/sonata27-1_fragment_6.musicxml,1.4545454545454546
output/sonata30-2_fragment_38.musicxml,1.264102564102564
output/sonata17-1_fragment_7.musicxml,1.9666666666666672
output/sonata18-3_fragment_2.musicxml,1.51
output/sonata27-2_fragment_44.musicxml,2.7791563275434243
output/sonata32-1_fragment_39.musicxml,2.35
output/sonata20-1_fragment_14.musicxml,1.8085106382978724
output/sonata29-1_fragment_35.musicxml,1.1634615384615383
output/sonata15-1_fragment_85.musicxml,0.8928571428571428
output/sonata17-1_fragment_0.musicxml,1.5548780487804879
output/sonata29-2_fragment_6.musicxml,1.521419828641371
output/sonata18-4_fragment_12.musicxml,2.0
output/sonata27-2_fragment_59.musicxml,3.4678362573099415
